               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022917,            0.016818,          0.00086125,             0.95585,             0.97809,             0.97671,             0.70208,            0.019633,           0.0094237,          0.00063648,             0.00538,             0.00538,             0.00538
                  37,            0.022676,            0.016247,          0.00085204,             0.96076,             0.98674,              0.9786,             0.72211,            0.019422,           0.0092093,          0.00056165,            0.005248,            0.005248,            0.005248
                  38,            0.022502,            0.016698,          0.00083948,              0.9783,             0.92773,             0.96085,             0.67605,            0.020606,           0.0094202,          0.00057078,            0.005116,            0.005116,            0.005116
                  39,            0.022229,            0.016639,          0.00086871,             0.96973,             0.94694,              0.9753,             0.72521,            0.018447,           0.0089574,          0.00053792,            0.004984,            0.004984,            0.004984
                  40,            0.022074,            0.016165,          0.00077492,             0.94086,             0.95176,              0.9597,             0.70366,            0.019113,           0.0092692,          0.00050341,            0.004852,            0.004852,            0.004852
                  41,            0.021822,              0.0161,          0.00080446,             0.96165,             0.95869,             0.95981,             0.69567,            0.018964,           0.0091687,          0.00061502,             0.00472,             0.00472,             0.00472
                  42,            0.021772,            0.016266,          0.00074248,             0.95456,             0.97856,             0.97464,             0.72506,            0.018264,           0.0090199,          0.00048722,            0.004588,            0.004588,            0.004588
                  43,            0.021472,            0.015952,          0.00073122,             0.96657,             0.97802,              0.9723,             0.72249,            0.018446,           0.0089921,          0.00055778,            0.004456,            0.004456,            0.004456
                  44,            0.021241,            0.016078,          0.00080301,             0.97705,             0.93944,             0.97493,             0.72207,            0.018186,           0.0088757,          0.00043542,            0.004324,            0.004324,            0.004324
                  45,            0.021066,            0.016242,          0.00072412,             0.96562,             0.97872,             0.97874,             0.71707,            0.018743,           0.0091458,          0.00043728,            0.004192,            0.004192,            0.004192
                  46,            0.021012,            0.015672,          0.00075586,             0.94447,             0.98731,             0.97305,             0.71992,            0.018125,           0.0088923,          0.00045253,             0.00406,             0.00406,             0.00406
                  47,            0.020691,            0.015596,          0.00072651,             0.97146,             0.94301,             0.97245,             0.71849,             0.01827,           0.0088932,          0.00038695,            0.003928,            0.003928,            0.003928
                  48,            0.020687,            0.015731,          0.00064175,             0.94498,             0.95934,             0.97161,             0.73192,            0.018257,           0.0089425,          0.00037454,            0.003796,            0.003796,            0.003796
                  49,            0.020449,            0.015438,          0.00068066,             0.93383,             0.97967,             0.96811,             0.72214,            0.017913,           0.0088729,          0.00038084,            0.003664,            0.003664,            0.003664
                  50,            0.020061,            0.015571,          0.00070427,             0.95806,             0.93623,             0.96022,             0.73321,            0.017511,           0.0086733,          0.00034172,            0.003532,            0.003532,            0.003532
                  51,            0.019972,            0.015694,          0.00054616,             0.97162,             0.97967,             0.97612,               0.733,            0.018607,           0.0087744,          0.00035749,              0.0034,              0.0034,              0.0034
                  52,            0.019903,            0.015467,          0.00055556,             0.94276,             0.96947,             0.96636,             0.74306,            0.017366,           0.0086401,          0.00033975,            0.003268,            0.003268,            0.003268
                  53,            0.019648,            0.015242,          0.00064233,             0.95889,             0.98882,             0.97494,             0.72418,            0.018262,           0.0089913,          0.00037761,            0.003136,            0.003136,            0.003136
                  54,            0.019224,            0.015161,           0.0005628,             0.95926,              0.9958,             0.98379,             0.74214,            0.017737,           0.0085993,          0.00032218,            0.003004,            0.003004,            0.003004
                  55,            0.019789,            0.015349,          0.00065375,             0.96057,             0.98934,             0.97106,             0.73958,            0.017624,           0.0086491,          0.00034369,            0.002872,            0.002872,            0.002872
                  56,            0.019194,             0.01511,          0.00058417,              0.9754,             0.97589,              0.9794,             0.75285,            0.016946,           0.0084008,          0.00028158,             0.00274,             0.00274,             0.00274
                  57,            0.018808,            0.014705,          0.00050309,             0.96386,             0.97918,             0.97735,             0.75212,             0.01691,           0.0083967,          0.00028844,            0.002608,            0.002608,            0.002608
                  58,            0.019155,            0.015033,          0.00051142,             0.96327,             0.95809,             0.97295,             0.74218,            0.016806,           0.0084704,          0.00026452,            0.002476,            0.002476,            0.002476
                  59,            0.018651,             0.01477,          0.00049966,             0.94339,              0.9988,             0.97721,             0.76178,            0.016503,           0.0082212,          0.00025549,            0.002344,            0.002344,            0.002344
                  60,            0.018739,             0.01477,          0.00049493,             0.94845,             0.98508,             0.97782,             0.75671,            0.016581,           0.0083197,          0.00025306,            0.002212,            0.002212,            0.002212
                  61,            0.018278,            0.014415,          0.00046821,             0.96482,             0.96668,             0.97411,             0.74919,            0.017137,           0.0083967,          0.00024242,             0.00208,             0.00208,             0.00208
                  62,            0.018106,            0.014834,          0.00050049,             0.95573,             0.95967,             0.96816,             0.75185,            0.016702,           0.0082907,          0.00025469,            0.001948,            0.001948,            0.001948
                  63,            0.017913,            0.014634,           0.0005206,             0.97265,             0.96825,              0.9717,             0.75686,            0.016413,           0.0082482,          0.00025179,            0.001816,            0.001816,            0.001816
                  64,            0.018206,            0.014282,          0.00048315,             0.96028,             0.98967,             0.97809,             0.76189,            0.016368,           0.0081671,          0.00021557,            0.001684,            0.001684,            0.001684
                  65,            0.018013,            0.014693,          0.00048301,             0.95972,             0.97587,             0.97781,             0.76882,            0.016098,           0.0080557,          0.00023325,            0.001552,            0.001552,            0.001552
                  66,            0.017913,            0.014259,          0.00041059,             0.96193,             0.96617,             0.97832,             0.75984,            0.016509,           0.0082636,          0.00024633,             0.00142,             0.00142,             0.00142
                  67,            0.017723,            0.014275,          0.00041663,             0.96448,             0.98967,             0.98207,             0.77861,             0.01586,           0.0079779,          0.00022635,            0.001288,            0.001288,            0.001288
                  68,            0.017608,            0.014437,          0.00044378,             0.97339,             0.97836,             0.97976,             0.77266,               0.016,           0.0081322,          0.00021455,            0.001156,            0.001156,            0.001156
                  69,            0.017316,            0.013761,          0.00039899,             0.97349,             0.97941,             0.98023,             0.78038,            0.015763,           0.0079854,          0.00021314,            0.001024,            0.001024,            0.001024
                  70,            0.017445,            0.014135,          0.00042562,             0.97506,             0.97911,             0.98078,             0.77276,            0.015988,           0.0079947,          0.00019445,            0.000892,            0.000892,            0.000892
                  71,            0.017046,            0.013837,          0.00038775,             0.97573,             0.97934,             0.98213,             0.77626,            0.015678,            0.007977,          0.00021379,             0.00076,             0.00076,             0.00076
                  72,            0.017149,            0.014058,          0.00040486,             0.97578,             0.97952,             0.98276,             0.77771,            0.015675,           0.0079422,           0.0001953,            0.000628,            0.000628,            0.000628
                  73,            0.017007,            0.013745,          0.00039549,              0.9757,             0.97923,             0.98409,             0.78036,            0.015475,           0.0078727,          0.00019886,            0.000496,            0.000496,            0.000496
                  74,            0.016938,            0.013913,          0.00037802,             0.97655,              0.9772,             0.98339,             0.78159,             0.01543,           0.0078602,          0.00021784,            0.000364,            0.000364,            0.000364
