               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023745,            0.023032,           0.0058606,               0.982,             0.98288,             0.99415,             0.76442,            0.019321,            0.011671,           0.0034951,             0.00538,             0.00538,             0.00538
                  37,            0.023967,            0.024992,           0.0053602,              0.9763,             0.98733,             0.99449,             0.80327,            0.016786,            0.010793,           0.0034164,            0.005248,            0.005248,            0.005248
                  38,              0.0236,            0.024631,             0.00508,             0.97489,              0.9979,               0.995,             0.78997,             0.01681,            0.010288,           0.0032455,            0.005116,            0.005116,            0.005116
                  39,            0.022796,            0.022442,           0.0050646,             0.97978,             0.98667,             0.99365,             0.79776,            0.017103,            0.010258,           0.0031257,            0.004984,            0.004984,            0.004984
                  40,            0.021824,            0.022905,           0.0049623,              0.9863,             0.99945,               0.995,              0.8099,            0.015821,            0.010286,           0.0030956,            0.004852,            0.004852,            0.004852
                  41,            0.021687,            0.022986,           0.0047427,             0.98731,             0.99939,               0.995,             0.83952,            0.014528,           0.0097303,           0.0030034,             0.00472,             0.00472,             0.00472
                  42,             0.02157,            0.023659,           0.0046928,             0.98471,             0.99752,               0.995,             0.83263,            0.014471,           0.0096092,           0.0029629,            0.004588,            0.004588,            0.004588
                  43,            0.020921,            0.023744,           0.0047767,             0.98362,             0.98621,             0.99365,             0.83831,            0.014466,           0.0096874,           0.0029111,            0.004456,            0.004456,            0.004456
                  44,            0.020864,            0.022619,           0.0048877,             0.98273,             0.99379,               0.995,             0.82445,             0.01542,            0.010332,           0.0028346,            0.004324,            0.004324,            0.004324
                  45,            0.021118,            0.022554,           0.0045669,             0.97286,             0.99234,               0.995,             0.83254,            0.014439,           0.0098257,           0.0027312,            0.004192,            0.004192,            0.004192
                  46,            0.020453,            0.022391,           0.0043509,              0.9794,             0.99567,               0.995,             0.83409,            0.014742,            0.009552,           0.0026933,             0.00406,             0.00406,             0.00406
                  47,            0.019223,             0.02183,           0.0042826,               0.977,                   1,               0.995,             0.82134,             0.01458,           0.0094328,           0.0026357,            0.003928,            0.003928,            0.003928
                  48,            0.018641,            0.021565,           0.0043096,              0.9739,                   1,               0.995,             0.86029,              0.0129,           0.0091953,           0.0025996,            0.003796,            0.003796,            0.003796
                  49,            0.018394,            0.020452,           0.0040265,             0.98224,             0.99955,               0.995,              0.8314,            0.013267,           0.0091238,           0.0024712,            0.003664,            0.003664,            0.003664
                  50,            0.018781,            0.021468,            0.004321,             0.97169,                   1,             0.99365,             0.83735,            0.013187,           0.0091038,           0.0024444,            0.003532,            0.003532,            0.003532
                  51,            0.019451,            0.021141,           0.0059819,              0.9851,             0.99482,               0.995,             0.84112,            0.012441,            0.008934,           0.0023925,              0.0034,              0.0034,              0.0034
                  52,            0.018245,            0.020909,           0.0041698,             0.96648,             0.99518,               0.995,             0.84626,            0.012964,           0.0089674,           0.0023446,            0.003268,            0.003268,            0.003268
                  53,             0.01773,            0.021214,           0.0039333,             0.97561,                   1,               0.995,             0.84252,            0.013506,           0.0093746,           0.0023303,            0.003136,            0.003136,            0.003136
                  54,            0.017012,            0.019892,           0.0038109,             0.97738,             0.99749,               0.995,             0.84921,             0.01359,           0.0089903,           0.0022209,            0.003004,            0.003004,            0.003004
                  55,            0.016842,            0.020807,           0.0040704,             0.96889,                   1,               0.995,             0.87117,            0.012054,           0.0091476,           0.0021876,            0.002872,            0.002872,            0.002872
                  56,             0.01654,            0.019793,           0.0034082,             0.96846,             0.98787,             0.99261,             0.84795,            0.012415,           0.0094023,           0.0022398,             0.00274,             0.00274,             0.00274
                  57,            0.016307,            0.019303,           0.0039299,             0.97984,                   1,               0.995,             0.87195,            0.011966,           0.0089531,           0.0021243,            0.002608,            0.002608,            0.002608
                  58,            0.016072,            0.019778,           0.0035413,             0.96761,                   1,               0.995,             0.85814,            0.012241,           0.0087442,           0.0020818,            0.002476,            0.002476,            0.002476
